Time Step,Stress Ratio,Stress Ratio Change
583,0.322909,2.31E-05
584,0.322934583,2.56E-05
585,0.322948667,1.41E-05
586,0.322963,1.43E-05
587,0.322978833,1.58E-05
588,0.322990417,1.16E-05
589,0.322756833,-0.000233584
590,0.3216235,-0.001133333
591,0.320348083,-0.001275417
592,0.3184075,-0.001940583
593,0.319323083,0.000915583
594,0.32029125,0.000968167
595,0.320424583,0.000133333
596,0.320856083,0.0004315
597,0.321136333,0.00028025
598,0.321703333,0.000567
599,0.32204825,0.000344917
600,0.322145917,9.77E-05
601,0.322310167,0.00016425
602,0.322322667,1.25E-05
603,0.322375083,5.24E-05
604,0.322495333,0.00012025
605,0.322556083,6.07E-05
606,0.322589667,3.36E-05
607,0.322628417,3.87E-05
608,0.322684917,5.65E-05
609,0.322747833,6.29E-05
610,0.32278375,3.59E-05
611,0.322822667,3.89E-05
612,0.32284225,1.96E-05
613,0.32285675,1.45E-05
614,0.3228785,2.17E-05
615,0.322899167,2.07E-05
616,0.322912583,1.34E-05
617,0.32292875,1.62E-05
618,0.3229425,1.38E-05
619,0.322946417,3.92E-06
620,0.32296175,1.53E-05
621,0.322972583,1.08E-05
622,0.322977833,5.25E-06
623,0.322990583,1.28E-05
624,0.323000167,9.58E-06
625,0.323003167,3.00E-06
626,0.323012833,9.67E-06
627,0.323021917,9.08E-06
628,0.323023583,1.67E-06
629,0.323034833,1.13E-05
630,0.323041083,6.25E-06
631,0.32304275,1.67E-06
632,0.323053417,1.07E-05
633,0.32306,6.58E-06
634,0.323063083,3.08E-06
635,0.323071583,8.50E-06
636,0.323078167,6.58E-06
637,0.32307875,5.83E-07
638,0.323087083,8.33E-06
639,0.32309325,6.17E-06
640,0.323095583,2.33E-06
641,0.323104583,9.00E-06
642,0.323102917,-1.67E-06
643,0.3231045,1.58E-06
644,0.323113167,8.67E-06
645,0.323118167,5.00E-06
646,0.323121,2.83E-06
647,0.323129417,8.42E-06
648,0.323136,6.58E-06
649,0.323137833,1.83E-06
650,0.323145833,8.00E-06
651,0.32315275,6.92E-06
652,0.323156083,3.33E-06
653,0.323163917,7.83E-06
654,0.323169917,6.00E-06
655,0.323172167,2.25E-06
656,0.32318075,8.58E-06
657,0.32318725,6.50E-06
658,0.323188833,1.58E-06
659,0.323199,1.02E-05
660,0.323203417,4.42E-06
661,0.323206167,2.75E-06
662,0.323215417,9.25E-06
663,0.323221083,5.67E-06
664,0.323221333,2.50E-07
665,0.323229667,8.33E-06
666,0.32323575,6.08E-06
667,0.323238667,2.92E-06
668,0.323247833,9.17E-06
669,0.323253,5.17E-06
670,0.323255417,2.42E-06
671,0.3232645,9.08E-06
672,0.3232705,6.00E-06
673,0.323272667,2.17E-06
674,0.323279917,7.25E-06
675,0.323285667,5.75E-06
676,0.32328675,1.08E-06
677,0.323295417,8.67E-06
678,0.323299417,4.00E-06
679,0.323299917,5.00E-07
680,0.323307167,7.25E-06
681,0.323311583,4.42E-06
682,0.323314667,3.08E-06
683,0.32332325,8.58E-06
684,0.323331,7.75E-06
685,0.323332,1.00E-06
686,0.323341083,9.08E-06
687,0.323348167,7.08E-06
688,0.323348917,7.50E-07
689,0.323357583,8.67E-06
690,0.323366167,8.58E-06
691,0.323368417,2.25E-06
692,0.323377,8.58E-06
693,0.323384667,7.67E-06
694,0.32338625,1.58E-06
695,0.323392833,6.58E-06
696,0.323401917,9.08E-06
697,0.323404,2.08E-06
698,0.323410333,6.33E-06
699,0.323417917,7.58E-06
700,0.323402417,-1.55E-05
701,0.323409,6.58E-06
702,0.323416667,7.67E-06
703,0.32341875,2.08E-06
704,0.323423167,4.42E-06
705,0.32343175,8.58E-06
706,0.323434833,3.08E-06
707,0.323440167,5.33E-06
708,0.323447083,6.92E-06
709,0.323450333,3.25E-06
710,0.323455,4.67E-06
711,0.323460833,5.83E-06
712,0.323465083,4.25E-06
713,0.32347075,5.67E-06
714,0.323477417,6.67E-06
715,0.32347325,-4.17E-06
716,0.323478667,5.42E-06
717,0.323480667,2.00E-06
718,0.32348325,2.58E-06
719,0.3234895,6.25E-06
720,0.32349725,7.75E-06
721,0.323500583,3.33E-06
722,0.323506167,5.58E-06
723,0.323513417,7.25E-06
724,0.323516667,3.25E-06
725,0.323522167,5.50E-06
726,0.323531417,9.25E-06
727,0.323538333,6.92E-06
728,0.3235435,5.17E-06
729,0.323552,8.50E-06
730,0.323555583,3.58E-06
731,0.323559917,4.33E-06
732,0.323567417,7.50E-06
733,0.323570917,3.50E-06
734,0.323576917,6.00E-06
735,0.323589667,1.28E-05
736,0.323591583,1.92E-06
737,0.323596583,5.00E-06
738,0.32360525,8.67E-06
739,0.32360725,2.00E-06
740,0.323616,8.75E-06
741,0.32362375,7.75E-06
742,0.3236255,1.75E-06
743,0.32363,4.50E-06
744,0.323638917,8.92E-06
745,0.323638667,-2.50E-07
746,0.323645667,7.00E-06
747,0.323653,7.33E-06
748,0.323654,10.00E-07
749,0.323662083,8.08E-06
750,0.323669417,7.33E-06
751,0.32367125,1.83E-06
752,0.3236805,9.25E-06
753,0.323687,6.50E-06
754,0.323688,10.00E-07
755,0.323697583,9.58E-06
756,0.3237045,6.92E-06
757,0.32370525,7.50E-07
758,0.32371425,9.00E-06
759,0.323719,4.75E-06
760,0.32372025,1.25E-06
761,0.323728083,7.83E-06
762,0.32373575,7.67E-06
763,0.323737833,2.08E-06
764,0.323737667,-1.66E-07
765,0.32374275,5.08E-06
766,0.323745167,2.42E-06
767,0.323754083,8.92E-06
768,0.32376075,6.67E-06
769,0.323762167,1.42E-06
770,0.323770667,8.50E-06
771,0.32377775,7.08E-06
772,0.32377975,2.00E-06
773,0.3237875,7.75E-06
774,0.323794667,7.17E-06
775,0.32379575,1.08E-06
776,0.323803333,7.58E-06
777,0.323809083,5.75E-06
778,0.323811667,2.58E-06
779,0.323821333,9.67E-06
780,0.323825917,4.58E-06
781,0.323829083,3.17E-06
782,0.32383725,8.17E-06
783,0.323841417,4.17E-06
784,0.323844917,3.50E-06
785,0.32385325,8.33E-06
786,0.323857917,4.67E-06
787,0.323862083,4.17E-06
788,0.323869167,7.08E-06
789,0.323874,4.83E-06
790,0.32387525,1.25E-06
791,0.323879417,4.17E-06
792,0.323883833,4.42E-06
793,0.323890833,7.00E-06
794,0.323899,8.17E-06
795,0.323901,2.00E-06
796,0.323906417,5.42E-06
797,0.323914333,7.92E-06
798,0.3239165,2.17E-06
799,0.323923083,6.58E-06
800,0.323929,5.92E-06
801,0.323930333,1.33E-06
802,0.323939417,9.08E-06
803,0.323945333,5.92E-06
804,0.323945667,3.34E-07
805,0.323954583,8.92E-06
806,0.323958917,4.33E-06
807,0.323959583,6.66E-07
808,0.323969667,1.01E-05
809,0.323974917,5.25E-06
810,0.323976917,2.00E-06
811,0.323984833,7.92E-06
812,0.323990583,5.75E-06
813,0.323994167,3.58E-06
814,0.324001083,6.92E-06
815,0.324006083,5.00E-06
816,0.324011583,5.50E-06
817,0.324019083,7.50E-06
818,0.324023833,4.75E-06
819,0.324028917,5.08E-06
820,0.324037333,8.42E-06
821,0.324040083,2.75E-06
822,0.32404625,6.17E-06
823,0.32405475,8.50E-06
824,0.324055833,1.08E-06
825,0.324062917,7.08E-06
826,0.324071417,8.50E-06
827,0.32407375,2.33E-06
828,0.324080583,6.83E-06
829,0.324089,8.42E-06
830,0.32408725,-1.75E-06
831,0.32409375,6.50E-06
832,0.324103083,9.33E-06
833,0.32410475,1.67E-06
834,0.32410775,3.00E-06
835,0.324113333,5.58E-06
836,0.324109083,-4.25E-06
837,0.324092667,-1.64E-05
838,0.32407675,-1.59E-05
839,0.3239535,-0.00012325
840,0.3227065,-0.001247
841,0.321856083,-0.000850417
842,0.321954,9.79E-05
843,0.321949583,-4.42E-06
844,0.32178625,-0.000163333
845,0.321683667,-0.000102583
846,0.321793917,0.00011025
847,0.3219445,0.000150583
848,0.322017917,7.34E-05
849,0.322077417,5.95E-05
850,0.322123167,4.58E-05
851,0.32217825,5.51E-05
852,0.3222285,5.02E-05
853,0.32227575,4.73E-05
854,0.322305917,3.02E-05
855,0.322359917,5.40E-05
856,0.32239675,3.68E-05
857,0.3224185,2.17E-05
858,0.32244925,3.08E-05
859,0.322480417,3.12E-05
860,0.322499333,1.89E-05
861,0.322522667,2.33E-05
862,0.322540083,1.74E-05
863,0.322552167,1.21E-05
864,0.322567083,1.49E-05
865,0.32258,1.29E-05
866,0.322589667,9.67E-06
867,0.32260175,1.21E-05
868,0.322611833,1.01E-05
869,0.32261875,6.92E-06
870,0.322630667,1.19E-05
871,0.322639,8.33E-06
872,0.322643917,4.92E-06
873,0.322653583,9.67E-06
874,0.322660083,6.50E-06
875,0.322665333,5.25E-06
876,0.322672833,7.50E-06
877,0.32268125,8.42E-06
878,0.322685,3.75E-06
879,0.322695333,1.03E-05
880,0.322698333,3.00E-06
881,0.32270275,4.42E-06
882,0.322711833,9.08E-06
883,0.322718583,6.75E-06
884,0.322723833,5.25E-06
885,0.3227315,7.67E-06
886,0.322736417,4.92E-06
887,0.32274175,5.33E-06
888,0.322751417,9.67E-06
889,0.322756667,5.25E-06
890,0.3227625,5.83E-06
